datasource_id,client_id,user_email
0f3838b0-be97-46be-b3b5-82266578582e,109437140823-apjhrr8juqpkm3umubggdktssf8dl90p.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,177644496409-bnhisu18vhuavbp3d33ucs39kdq3em5e.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,292824132082.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,442739719837.apps.googleusercontent.com,mktg_user_2@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,612503649554-fp040buvk38lnnpqvllgjq6fknuh7uc9.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,66768360438-37d46au5itvmgt4c3hidodsl1rnc0hg7.apps.googleusercontent.com,mktg_user_1@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,780732048696.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,800521135851-h9t8dbjd4dvc4tvngvne9mq4n9p8j90s.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,800521135851-h9t8dbjd4dvc4tvngvne9mq4n9p8j90s.apps.googleusercontent.com,mktg_user_1@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,800521135851-nh4gf3m9kbpu83h2sl8sm8a21e7g7ldi.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,946018238758-aht63nue21hvlj2d6maf07vvdjisckhh.apps.googleusercontent.com,amit.agarwal@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,946018238758-aht63nue21hvlj2d6maf07vvdjisckhh.apps.googleusercontent.com,deepak@adyatest.com
0f3838b0-be97-46be-b3b5-82266578582e,iOS Account Manager,deepak@adyatest.com
