datasource_id,resource_id,email,permission_id,permission_type,exposure_type,expiration_time,is_deleted
0f3838b0-be97-46be-b3b5-82266578582e,0B1By_dYL1Segc3RhcnRlcl9maWxlX2Rhc2hlclYw,engg_user_2@adyatest.com,08464589733960295116,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0B4-LaxmBsTrSc3RhcnRlcl9maWxlX2Rhc2hlclYw,mktg_user_2@adyatest.com,13701269247808531792,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0B6qNOXm_mV4pc3RhcnRlcl9maWxlX2Rhc2hlclYw,sales_user_1@adyatest.com,11667871528211765552,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0B7uXfe3uom3Pc3RhcnRlcl9maWxlX2Rhc2hlclYw,mktg_user_1@adyatest.com,15769082913330939955,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0B83elL9xsDrSc3RhcnRlcl9maWxlX2Rhc2hlclYw,deepak@adyatest.com,08005348925248457086,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0B9a35ZK_q-DNc3RhcnRlcl9maWxlX2Rhc2hlclYw,finance_user_1@adyatest.com,16976026887258534575,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0Bwtqz1A5kXeMc3RhcnRlcl9maWxlX2Rhc2hlclYw,sales_user_2@adyatest.com,00393929978492690049,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0BzCPrivOhR5Ic3RhcnRlcl9maWxlX2Rhc2hlclYw,engg_user_1@adyatest.com,00073409170730105766,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,0BzZovLP6dwqic3RhcnRlcl9maWxlX2Rhc2hlclYw,amit.agarwal@adyatest.com,15822257534904705980,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Fm6udjfnrHGWwPbHHPZ5Bz5YgouDy_c,deepak@adyatest.com,08005348925248457086,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Fm6udjfnrHGWwPbHHPZ5Bz5YgouDy_c,mktg@adyatest.com,06884616684275021194,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-rgS4ufvqR_pBqw01ZGa_fNJEBQFoGmY,deepak@adyatest.com,08005348925248457086,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-rgS4ufvqR_pBqw01ZGa_fNJEBQFoGmY,sales@adyatest.com,03673162328506403042,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-rgS4ufvqR_pBqw01ZGa_fNJEBQFoGmY,sales_user_1@adyatest.com,11667871528211765552,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Uz0nwbxxPzVrJVWx1i2M8D4HHGJvb64,deepak@adyatest.com,08005348925248457086,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Uz0nwbxxPzVrJVWx1i2M8D4HHGJvb64,sales@adyatest.com,03673162328506403042,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Uz0nwbxxPzVrJVWx1i2M8D4HHGJvb64,sales_user_2@adyatest.com,00393929978492690049,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,1-Uz0nwbxxPzVrJVWx1i2M8D4HHGJvb64,__ANYONE__@adyatest.com,09522562856373921280k,reader,DOMAIN,,0
0f3838b0-be97-46be-b3b5-82266578582e,100JaH87iyZo2itg7fhYHbIKHPZxcFAxu,deepak@adyatest.com,08005348925248457086,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,100JaH87iyZo2itg7fhYHbIKHPZxcFAxu,mktg@adyatest.com,06884616684275021194,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,100JaH87iyZo2itg7fhYHbIKHPZxcFAxu,sales@adyatest.com,03673162328506403042,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,100JaH87iyZo2itg7fhYHbIKHPZxcFAxu,sales_user_2@adyatest.com,00393929978492690049,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,104pF728474Q0qIY9XmpbaEsClwAC48Jy,deepak@adyatest.com,08005348925248457086,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,104pF728474Q0qIY9XmpbaEsClwAC48Jy,engg@adyatest.com,05396706730572163622,writer,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,104pF728474Q0qIY9XmpbaEsClwAC48Jy,engg_user_1@adyatest.com,00073409170730105766,owner,INT,,0
0f3838b0-be97-46be-b3b5-82266578582e,10eWGN88J8GrycBUQw_MvL-ZEKC-KrIC1,deepak@adyatest.com,08005348925248457086,owner,INT,,0
